Date,Qout,Qin,WCA3A,NESRS,Za,PET,Rain
1965-01-01,1465.1,1465.06,10.34,6.64,10.5,0.83,0.14
1965-01-08,1386.8,1465.06,10.33,6.95,10.46,0.8,0
1965-01-15,1099.1,1386.81,10.29,7.37,10.41,0.8,0.02
1965-01-22,908.1,1099.06,10.22,7.41,10.37,0.88,0.06
1965-01-29,725.3,908.09,10.12,7.37,10.33,0.88,0.31
1965-02-05,176.8,725.32,10.04,7.44,10.29,0.85,1.03
1965-02-12,44.5,176.76,10.01,7.47,10.24,1.02,0.12
1965-02-19,86.7,44.5,9.92,7.3,10.19,0.81,1.55
1965-02-26,99.6,86.74,9.95,7.31,10.14,0.97,0.75
1965-03-05,104.8,99.57,9.94,7.34,10.09,1.07,0
1965-03-12,87.5,104.85,9.84,7.2,10.04,0.99,0.09
1965-03-19,101.3,87.5,9.75,7.07,10,1.03,0.06
1965-03-26,123.1,101.31,9.65,6.97,9.95,1.16,0.24
1965-04-02,126.2,123.07,9.55,6.86,9.9,1.38,0
1965-04-09,105.7,126.23,9.41,6.72,9.85,1.39,0
1965-04-16,122.4,105.72,9.25,6.59,9.8,1.43,0.15
1965-04-23,125.7,122.38,9.11,6.47,9.75,1.09,0.23
1965-04-30,125,125.73,9.02,6.43,9.7,1.73,0
1965-05-07,125.5,125.02,8.85,6.29,9.65,1.67,0.45
1965-05-14,125.6,125.47,8.72,6.17,9.6,1.74,0
1965-05-21,125.9,125.57,8.57,6.04,9.55,1.63,0.01
1965-05-28,125.9,125.92,8.44,5.89,9.5,1.69,0.76
1965-06-04,103.8,125.91,8.4,5.81,9.55,1.38,2.74
1965-06-11,103.1,103.83,8.54,6.06,9.59,1.25,2.2
1965-06-18,113.2,103.13,8.63,6.09,9.64,1.41,1.56
1965-06-25,69,113.24,8.61,6.11,9.68,1.28,0.85
1965-07-02,116.5,69.02,8.58,6.06,9.73,1.54,0.91
1965-07-09,61.8,116.54,8.5,5.93,9.77,1.29,2.94
1965-07-16,7.3,61.8,8.67,5.97,9.82,1.39,2.48
1965-07-23,0,7.31,8.73,6.15,9.87,1.22,1.43
1965-07-30,144.8,0,8.77,6.27,9.91,1.31,2.77
1965-08-06,24.1,144.82,9.03,6.21,9.96,1.27,1.92
