time,paramecium,didinium
0,15.65,5.76
0.52,53.57,9.05
1.01,73.34,17.26
1.54,93.93,41.97
2.04,115.4,55.97
2.51,76.57,74.91
3,32.83,62.52
3.46,23.74,27.04
3.97,56.7,18.77
4.5,86.37,31.11
4.95,121,58.31
5.47,71.48,73.13
5.99,55.78,63.21
6.46,31.84,52.46
6.98,26.87,40.07
7.45,53.24,27.67
7.95,65.59,26
8.5,81.23,24.32
8.96,143.9,21
9.49,237.9,33.35
10,276.6,64.67
10.47,222.2,94.34
10.96,137.2,103.4
11.47,46.45,82.74
11.96,27.46,65.4
12.46,41.46,51.35
12.95,44.73,28.24
13.46,88.42,23.27
13.98,105.7,38.09
14.49,155.2,14.97
15.02,205.5,24.84
15.51,312.7,49.56
16.02,213.7,75.93
15.99,163.4,104
17,85.78,106.4
17.52,48.64,100.6
18.05,44.49,84.08
18.51,63.44,45.3
19.06,71.66,35.37
19.51,127.7,35.35
20.05,206.9,41.1
20.54,309.9,52.62
21.1,156.5,120.2
21.56,63.3,112.8
22.06,77.29,92.14
22.52,45.11,65.72
23.02,57.45,33.54
23.54,69.8,21.14
24.04,121.7,17.82
24.58,185.2,26.04
25.08,175.3,65.61
25.6,139,76.3
26.04,77.11,96.07
26.51,57.29,68.84
27.05,54.79,54.79
27.55,75.38,35.8
28.05,87.73,32.48
28.55,136.4,24.21
29.04,290.6,35.73
29.55,345.8,55.5
30.04,271.6,93.41
30.59,156.1,117.3
30.99,71.1,95.02
31.48,43.86,85.92
32.03,30.64,82.6
32.5,35.56,66.08
33.03,52.03,63.58
33.49,37.99,37.99
34.02,62.71,25.6
34.49,103.9,23.1
35.08,187.2,37.09
